State,Year,Date,Unemployment Rate,  Subsidies (millions of dollars),  Taxes on production and imports (TOPI) (millions of dollars),Chain-type quantity indexes for real GDP,Compensation (millions of dollars),Current-dollar GDP (millions of current dollars),Gross operating surplus (millions of dollars),Real GDP (millions of chained 2017 dollars) 1,Taxes on production and imports (TOPI) less subsides (millions of dollars),State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average
Hawaii,2019,4/1/19,2.6,-252.1,9316.4,101.623,50408.1,93240.2,33767.7,88855.2,9064.4,10.1,10.22,7.25,7.34,10.1,10.22,255.657
Idaho,2019,4/1/19,2.9,-336.1,5409.3,111.255,44612.4,84429.4,34743.8,81144.3,5073.1,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Illinois,2019,4/1/19,4.2,-4093.6,68855.9,103.025,485390.8,895601.8,345448.6,858018.3,64762.4,9.25,9.36,7.25,7.34,9.25,9.36,255.657
Indiana,2019,4/1/19,3.3,-1565.6,22683,103.628,198748.3,384838.7,164973,370507.2,21117.4,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Iowa,2019,4/1/19,2.6,-2504.8,12919.6,100.72,98492,196262.5,87355.7,188471.4,10414.7,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Kansas,2019,4/1/19,3.2,-1960.2,12091.6,101.978,91997.8,176068.8,73939.6,169562.3,10131.3,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Kentucky,2019,4/1/19,4.1,-730.2,16313,104.038,121066.9,220678.8,84029,211783.1,15582.8,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Louisiana,2019,4/1/19,4.4,-789.3,18260,102.854,128824.7,257499,111203.6,246674.4,17470.7,0,0,7.25,7.34,7.25,7.34,255.657
Maine,2019,4/1/19,2.8,-181.9,6672.3,105.965,39004.9,69708.7,24213.4,66758.4,6490.3,12,12.14,7.25,7.34,12,12.14,255.657
Maryland,2019,4/1/19,3.4,-1255.3,27123.7,100.698,230439.8,419391.6,163083.4,402506.2,25868.4,11,11.13,7.25,7.34,11,11.13,255.657
Massachusetts,2019,4/1/19,3.1,-1749.7,30843.6,106.828,342122.3,588069.5,216853.2,566326.8,29094,12.75,12.9,7.25,7.34,12.75,12.9,255.657
Michigan,2019,4/1/19,4.2,-1356,35203.1,103.164,304457.3,540237.3,201932.9,521085.1,33847.1,9.65,9.76,7.25,7.34,9.65,9.76,255.657
Minnesota,2019,4/1/19,3.2,-2311.7,26332.4,104.199,218277.7,384850.2,142551.7,369617.4,24020.7,8.15,8.25,7.25,7.34,8.15,8.25,255.657
Mississippi,2019,4/1/19,5.4,-836.8,9881.9,100.84,63945,116135.7,43145.7,111207.8,9045,0,0,7.25,7.34,7.25,7.34,255.657
Missouri,2019,4/1/19,3.2,-1863.2,19938.2,103.23,191969,334750.2,124706.1,321329.1,18075.1,9.45,9.56,7.25,7.34,9.45,9.56,255.657
Montana,2019,4/1/19,3.5,-489.7,3447.4,103.699,28195.3,52715.6,21562.5,50263.5,2957.7,8.65,8.75,7.25,7.34,8.65,8.75,255.657
Nebraska,2019,4/1/19,3.1,-1523.7,8457.3,103.529,65646,132848.2,60268.7,127568.9,6933.5,9,9.11,7.25,7.34,9,9.11,255.657
Nevada,2019,4/1/19,4.2,-383.8,16993.8,107.862,94771.5,184611.1,73229.5,176029.7,16610.1,7.25,7.34,7.25,7.34,7.25,7.34,255.657
New Hampshire,2019,4/1/19,2.6,-162.8,6413.6,104.014,49170.9,87868.2,32446.5,84438.2,6250.8,7.25,7.34,7.25,7.34,7.25,7.34,255.657
New Jersey,2019,4/1/19,3.2,-1643.8,61309.9,104.847,350376.7,643317.7,233275,618691,59666,11,11.13,7.25,7.34,11,11.13,255.657
New Mexico,2019,4/1/19,5,-323.9,8795.7,107.652,53538.7,103821,41810.4,100342.2,8471.8,9,9.11,7.25,7.34,9,9.11,255.657
New York,2019,4/1/19,3.8,-6886.9,132104.3,104.897,914021.9,1787470.9,748231.6,1704364.3,125217.4,11.8,11.94,7.25,7.34,11.8,11.94,255.657
North Carolina,2019,4/1/19,3.9,-1537.9,37166.1,103.871,315965.3,592449.6,240856.2,567975,35628.2,7.25,7.34,7.25,7.34,7.25,7.34,255.657
North Dakota,2019,4/1/19,2.2,-1651.9,5268.9,105.092,29937,60892.5,27338.6,59408.5,3617,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Ohio,2019,4/1/19,4,-1993.7,45967.2,103.354,373806.6,702914.8,285134.8,674063.9,43973.4,8.7,8.8,7.25,7.34,8.7,8.8,255.657
Oklahoma,2019,4/1/19,3.1,-824.5,13401.8,103.913,105811.5,205992.7,87604,200072.2,12577.3,2,2.02,7.25,7.34,7.25,7.34,255.657
Oregon,2019,4/1/19,3.9,-774.3,13742.5,106.323,140613.2,248781.8,95200.5,239794.8,12968.2,11.25,11.38,7.25,7.34,11.25,11.38,255.657
Pennsylvania,2019,4/1/19,4.3,-2002.8,54352.1,102.325,441147.1,802233.1,308736.7,771852.5,52349.3,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Rhode Island,2019,4/1/19,3.5,-170.9,5303.4,102.358,35626.5,62814.7,22055.6,60157.6,5132.6,10.5,10.62,7.25,7.34,10.5,10.62,255.657
South Carolina,2019,4/1/19,3.1,-605.3,18512.4,106.261,135586.5,249575.7,96082,239021.3,17907.1,0,0,7.25,7.34,7.25,7.34,255.657
South Dakota,2019,4/1/19,2.8,-1418.7,4091.7,101.734,25947.7,55175.8,26555.1,52510.2,2673,9.3,9.41,7.25,7.34,9.3,9.41,255.657
Tennessee,2019,4/1/19,3.4,-945.3,27440.7,104.158,199435.4,385833,159902.2,370197.4,26495.3,0,0,7.25,7.34,7.25,7.34,255.657
Texas,2019,4/1/19,3.5,-4896.1,157580.7,108.362,952350.1,1864872.3,759837.5,1806736.1,152684.6,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Utah,2019,4/1/19,2.6,-413.9,11420.1,112.021,103151.9,201312.2,87154.1,192760.6,11006.2,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Vermont,2019,4/1/19,2,-104.6,3512.8,102.302,19834.6,34760.3,11517.5,33339.4,3408.2,10.96,11.09,7.25,7.34,10.96,11.09,255.657
Virginia,2019,4/1/19,2.8,-1192.7,37577.3,105.02,319921.9,561701.8,205395.4,541028,36384.6,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Washington,2019,4/1/19,4.4,-1638.3,49735.9,111.69,309606.9,608643.4,250939,588794.4,48097.5,13.5,13.66,7.25,7.34,13.5,13.66,255.657
West Virginia,2019,4/1/19,4.8,-131.2,6163.6,102.647,42398,80242.4,31811.9,77162.2,6032.5,8.75,8.85,7.25,7.34,8.75,8.85,255.657
Wisconsin,2019,4/1/19,3.2,-1103.3,22689.6,103.532,196118.6,346906.6,129201.7,333256.8,21586.3,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Wyoming,2019,4/1/19,3.5,-92.5,3513.1,102.543,19131.1,40029.5,17477.7,38577.1,3420.7,5.15,5.21,7.25,7.34,7.25,7.34,255.657
Alabama,2019,5/1/19,3.1,-607.4,14573.3,103.997,126937.8,234798.2,93894.5,225272.8,13965.9,0,0,7.25,7.34,7.25,7.34,255.657
Alaska,2019,5/1/19,5.6,-108,4262,97.809,28962.4,54549.6,21433.2,52377.5,4154,10.19,10.31,7.25,7.34,10.19,10.31,255.657
Arizona,2019,5/1/19,4.8,-810.1,24776.4,107.949,204498.2,375376.7,146912.1,359576.7,23966.3,12,12.14,7.25,7.34,12,12.14,255.657
Arkansas,2019,5/1/19,3.4,-1203.9,10140.6,102.694,73876.1,132625.8,49813.1,127220,8936.6,9.25,9.36,7.25,7.34,9.25,9.36,255.657
California,2019,5/1/19,4,-8094.4,214139,108.358,1624376.7,3068629.7,1238208.4,2969609,206044.6,12,12.14,7.25,7.34,12,12.14,255.657
Colorado,2019,5/1/19,2.6,-1229,25678.6,109.57,219270.5,397843.6,154123.4,383725.6,24449.6,12,12.14,7.25,7.34,12,12.14,255.657
Connecticut,2019,5/1/19,3.5,-573.7,20719.9,100.493,146557.8,286451.9,119747.8,275225.4,20146.3,11,11.13,7.25,7.34,11,11.13,255.657
Delaware,2019,5/1/19,3.5,-194.2,4556.1,107.292,34728.9,78710.5,39619.7,74627.8,4361.9,9.25,9.36,7.25,7.34,9.25,9.36,255.657
Florida,2019,5/1/19,3.3,-2807.2,94241.7,106.902,606423.7,1133718,435859.9,1084913.9,91434.5,8.56,8.66,7.25,7.34,8.56,8.66,255.657
Georgia,2019,5/1/19,3.6,-1716.3,38071.1,106.375,329820.5,646695.8,280520.5,620744.9,36354.8,5.15,5.21,7.25,7.34,7.25,7.34,255.657
Hawaii,2019,5/1/19,2.6,-252.1,9316.4,101.623,50408.1,93240.2,33767.7,88855.2,9064.4,10.1,10.22,7.25,7.34,10.1,10.22,255.657
Idaho,2019,5/1/19,2.8,-336.1,5409.3,111.255,44612.4,84429.4,34743.8,81144.3,5073.1,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Illinois,2019,5/1/19,4,-4093.6,68855.9,103.025,485390.8,895601.8,345448.6,858018.3,64762.4,9.25,9.36,7.25,7.34,9.25,9.36,255.657
Indiana,2019,5/1/19,3.2,-1565.6,22683,103.628,198748.3,384838.7,164973,370507.2,21117.4,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Iowa,2019,5/1/19,2.6,-2504.8,12919.6,100.72,98492,196262.5,87355.7,188471.4,10414.7,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Kansas,2019,5/1/19,3.2,-1960.2,12091.6,101.978,91997.8,176068.8,73939.6,169562.3,10131.3,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Kentucky,2019,5/1/19,4.1,-730.2,16313,104.038,121066.9,220678.8,84029,211783.1,15582.8,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Louisiana,2019,5/1/19,4.4,-789.3,18260,102.854,128824.7,257499,111203.6,246674.4,17470.7,0,0,7.25,7.34,7.25,7.34,255.657
Maine,2019,5/1/19,2.7,-181.9,6672.3,105.965,39004.9,69708.7,24213.4,66758.4,6490.3,12,12.14,7.25,7.34,12,12.14,255.657
Maryland,2019,5/1/19,3.4,-1255.3,27123.7,100.698,230439.8,419391.6,163083.4,402506.2,25868.4,11,11.13,7.25,7.34,11,11.13,255.657
Massachusetts,2019,5/1/19,3,-1749.7,30843.6,106.828,342122.3,588069.5,216853.2,566326.8,29094,12.75,12.9,7.25,7.34,12.75,12.9,255.657
Michigan,2019,5/1/19,4.1,-1356,35203.1,103.164,304457.3,540237.3,201932.9,521085.1,33847.1,9.65,9.76,7.25,7.34,9.65,9.76,255.657
Minnesota,2019,5/1/19,3.2,-2311.7,26332.4,104.199,218277.7,384850.2,142551.7,369617.4,24020.7,8.15,8.25,7.25,7.34,8.15,8.25,255.657
Mississippi,2019,5/1/19,5.4,-836.8,9881.9,100.84,63945,116135.7,43145.7,111207.8,9045,0,0,7.25,7.34,7.25,7.34,255.657
Missouri,2019,5/1/19,3.1,-1863.2,19938.2,103.23,191969,334750.2,124706.1,321329.1,18075.1,9.45,9.56,7.25,7.34,9.45,9.56,255.657
Montana,2019,5/1/19,3.4,-489.7,3447.4,103.699,28195.3,52715.6,21562.5,50263.5,2957.7,8.65,8.75,7.25,7.34,8.65,8.75,255.657
Nebraska,2019,5/1/19,3.1,-1523.7,8457.3,103.529,65646,132848.2,60268.7,127568.9,6933.5,9,9.11,7.25,7.34,9,9.11,255.657
Nevada,2019,5/1/19,4.1,-383.8,16993.8,107.862,94771.5,184611.1,73229.5,176029.7,16610.1,7.25,7.34,7.25,7.34,7.25,7.34,255.657
New Hampshire,2019,5/1/19,2.5,-162.8,6413.6,104.014,49170.9,87868.2,32446.5,84438.2,6250.8,7.25,7.34,7.25,7.34,7.25,7.34,255.657
New Jersey,2019,5/1/19,3.2,-1643.8,61309.9,104.847,350376.7,643317.7,233275,618691,59666,11,11.13,7.25,7.34,11,11.13,255.657
New Mexico,2019,5/1/19,4.9,-323.9,8795.7,107.652,53538.7,103821,41810.4,100342.2,8471.8,9,9.11,7.25,7.34,9,9.11,255.657
New York,2019,5/1/19,3.7,-6886.9,132104.3,104.897,914021.9,1787470.9,748231.6,1704364.3,125217.4,11.8,11.94,7.25,7.34,11.8,11.94,255.657
North Carolina,2019,5/1/19,3.8,-1537.9,37166.1,103.871,315965.3,592449.6,240856.2,567975,35628.2,7.25,7.34,7.25,7.34,7.25,7.34,255.657
North Dakota,2019,5/1/19,2.1,-1651.9,5268.9,105.092,29937,60892.5,27338.6,59408.5,3617,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Ohio,2019,5/1/19,4,-1993.7,45967.2,103.354,373806.6,702914.8,285134.8,674063.9,43973.4,8.7,8.8,7.25,7.34,8.7,8.8,255.657
Oklahoma,2019,5/1/19,3,-824.5,13401.8,103.913,105811.5,205992.7,87604,200072.2,12577.3,2,2.02,7.25,7.34,7.25,7.34,255.657
Oregon,2019,5/1/19,3.8,-774.3,13742.5,106.323,140613.2,248781.8,95200.5,239794.8,12968.2,11.25,11.38,7.25,7.34,11.25,11.38,255.657
Pennsylvania,2019,5/1/19,4.2,-2002.8,54352.1,102.325,441147.1,802233.1,308736.7,771852.5,52349.3,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Rhode Island,2019,5/1/19,3.5,-170.9,5303.4,102.358,35626.5,62814.7,22055.6,60157.6,5132.6,10.5,10.62,7.25,7.34,10.5,10.62,255.657
South Carolina,2019,5/1/19,2.9,-605.3,18512.4,106.261,135586.5,249575.7,96082,239021.3,17907.1,0,0,7.25,7.34,7.25,7.34,255.657
South Dakota,2019,5/1/19,2.8,-1418.7,4091.7,101.734,25947.7,55175.8,26555.1,52510.2,2673,9.3,9.41,7.25,7.34,9.3,9.41,255.657
Tennessee,2019,5/1/19,3.3,-945.3,27440.7,104.158,199435.4,385833,159902.2,370197.4,26495.3,0,0,7.25,7.34,7.25,7.34,255.657
Texas,2019,5/1/19,3.4,-4896.1,157580.7,108.362,952350.1,1864872.3,759837.5,1806736.1,152684.6,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Utah,2019,5/1/19,2.6,-413.9,11420.1,112.021,103151.9,201312.2,87154.1,192760.6,11006.2,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Vermont,2019,5/1/19,2,-104.6,3512.8,102.302,19834.6,34760.3,11517.5,33339.4,3408.2,10.96,11.09,7.25,7.34,10.96,11.09,255.657
Virginia,2019,5/1/19,2.7,-1192.7,37577.3,105.02,319921.9,561701.8,205395.4,541028,36384.6,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Washington,2019,5/1/19,4.3,-1638.3,49735.9,111.69,309606.9,608643.4,250939,588794.4,48097.5,13.5,13.66,7.25,7.34,13.5,13.66,255.657
West Virginia,2019,5/1/19,4.7,-131.2,6163.6,102.647,42398,80242.4,31811.9,77162.2,6032.5,8.75,8.85,7.25,7.34,8.75,8.85,255.657
Wisconsin,2019,5/1/19,3.2,-1103.3,22689.6,103.532,196118.6,346906.6,129201.7,333256.8,21586.3,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Wyoming,2019,5/1/19,3.5,-92.5,3513.1,102.543,19131.1,40029.5,17477.7,38577.1,3420.7,5.15,5.21,7.25,7.34,7.25,7.34,255.657
Alabama,2019,6/1/19,3,-607.4,14573.3,103.997,126937.8,234798.2,93894.5,225272.8,13965.9,0,0,7.25,7.34,7.25,7.34,255.657
Alaska,2019,6/1/19,5.6,-108,4262,97.809,28962.4,54549.6,21433.2,52377.5,4154,10.19,10.31,7.25,7.34,10.19,10.31,255.657
Arizona,2019,6/1/19,4.8,-810.1,24776.4,107.949,204498.2,375376.7,146912.1,359576.7,23966.3,12,12.14,7.25,7.34,12,12.14,255.657
Arkansas,2019,6/1/19,3.4,-1203.9,10140.6,102.694,73876.1,132625.8,49813.1,127220,8936.6,9.25,9.36,7.25,7.34,9.25,9.36,255.657
California,2019,6/1/19,4,-8094.4,214139,108.358,1624376.7,3068629.7,1238208.4,2969609,206044.6,12,12.14,7.25,7.34,12,12.14,255.657
Colorado,2019,6/1/19,2.5,-1229,25678.6,109.57,219270.5,397843.6,154123.4,383725.6,24449.6,12,12.14,7.25,7.34,12,12.14,255.657
Connecticut,2019,6/1/19,3.5,-573.7,20719.9,100.493,146557.8,286451.9,119747.8,275225.4,20146.3,11,11.13,7.25,7.34,11,11.13,255.657
Delaware,2019,6/1/19,3.5,-194.2,4556.1,107.292,34728.9,78710.5,39619.7,74627.8,4361.9,9.25,9.36,7.25,7.34,9.25,9.36,255.657
Florida,2019,6/1/19,3.3,-2807.2,94241.7,106.902,606423.7,1133718,435859.9,1084913.9,91434.5,8.56,8.66,7.25,7.34,8.56,8.66,255.657
Georgia,2019,6/1/19,3.6,-1716.3,38071.1,106.375,329820.5,646695.8,280520.5,620744.9,36354.8,5.15,5.21,7.25,7.34,7.25,7.34,255.657
Hawaii,2019,6/1/19,2.5,-252.1,9316.4,101.623,50408.1,93240.2,33767.7,88855.2,9064.4,10.1,10.22,7.25,7.34,10.1,10.22,255.657
Idaho,2019,6/1/19,2.8,-336.1,5409.3,111.255,44612.4,84429.4,34743.8,81144.3,5073.1,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Illinois,2019,6/1/19,3.8,-4093.6,68855.9,103.025,485390.8,895601.8,345448.6,858018.3,64762.4,9.25,9.36,7.25,7.34,9.25,9.36,255.657
Indiana,2019,6/1/19,3.2,-1565.6,22683,103.628,198748.3,384838.7,164973,370507.2,21117.4,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Iowa,2019,6/1/19,2.6,-2504.8,12919.6,100.72,98492,196262.5,87355.7,188471.4,10414.7,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Kansas,2019,6/1/19,3.1,-1960.2,12091.6,101.978,91997.8,176068.8,73939.6,169562.3,10131.3,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Kentucky,2019,6/1/19,4.1,-730.2,16313,104.038,121066.9,220678.8,84029,211783.1,15582.8,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Louisiana,2019,6/1/19,4.4,-789.3,18260,102.854,128824.7,257499,111203.6,246674.4,17470.7,0,0,7.25,7.34,7.25,7.34,255.657
Maine,2019,6/1/19,2.7,-181.9,6672.3,105.965,39004.9,69708.7,24213.4,66758.4,6490.3,12,12.14,7.25,7.34,12,12.14,255.657
Maryland,2019,6/1/19,3.3,-1255.3,27123.7,100.698,230439.8,419391.6,163083.4,402506.2,25868.4,11,11.13,7.25,7.34,11,11.13,255.657
Massachusetts,2019,6/1/19,3,-1749.7,30843.6,106.828,342122.3,588069.5,216853.2,566326.8,29094,12.75,12.9,7.25,7.34,12.75,12.9,255.657
Michigan,2019,6/1/19,4.1,-1356,35203.1,103.164,304457.3,540237.3,201932.9,521085.1,33847.1,9.65,9.76,7.25,7.34,9.65,9.76,255.657
Minnesota,2019,6/1/19,3.2,-2311.7,26332.4,104.199,218277.7,384850.2,142551.7,369617.4,24020.7,8.15,8.25,7.25,7.34,8.15,8.25,255.657
Mississippi,2019,6/1/19,5.5,-836.8,9881.9,100.84,63945,116135.7,43145.7,111207.8,9045,0,0,7.25,7.34,7.25,7.34,255.657
Missouri,2019,6/1/19,3.1,-1863.2,19938.2,103.23,191969,334750.2,124706.1,321329.1,18075.1,9.45,9.56,7.25,7.34,9.45,9.56,255.657
Montana,2019,6/1/19,3.4,-489.7,3447.4,103.699,28195.3,52715.6,21562.5,50263.5,2957.7,8.65,8.75,7.25,7.34,8.65,8.75,255.657
Nebraska,2019,6/1/19,3.1,-1523.7,8457.3,103.529,65646,132848.2,60268.7,127568.9,6933.5,9,9.11,7.25,7.34,9,9.11,255.657
Nevada,2019,6/1/19,4.1,-383.8,16993.8,107.862,94771.5,184611.1,73229.5,176029.7,16610.1,7.25,7.34,7.25,7.34,7.25,7.34,255.657
New Hampshire,2019,6/1/19,2.5,-162.8,6413.6,104.014,49170.9,87868.2,32446.5,84438.2,6250.8,7.25,7.34,7.25,7.34,7.25,7.34,255.657
New Jersey,2019,6/1/19,3.2,-1643.8,61309.9,104.847,350376.7,643317.7,233275,618691,59666,11,11.13,7.25,7.34,11,11.13,255.657
New Mexico,2019,6/1/19,4.9,-323.9,8795.7,107.652,53538.7,103821,41810.4,100342.2,8471.8,9,9.11,7.25,7.34,9,9.11,255.657
New York,2019,6/1/19,3.7,-6886.9,132104.3,104.897,914021.9,1787470.9,748231.6,1704364.3,125217.4,11.8,11.94,7.25,7.34,11.8,11.94,255.657
North Carolina,2019,6/1/19,3.9,-1537.9,37166.1,103.871,315965.3,592449.6,240856.2,567975,35628.2,7.25,7.34,7.25,7.34,7.25,7.34,255.657
North Dakota,2019,6/1/19,2.1,-1651.9,5268.9,105.092,29937,60892.5,27338.6,59408.5,3617,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Ohio,2019,6/1/19,4,-1993.7,45967.2,103.354,373806.6,702914.8,285134.8,674063.9,43973.4,8.7,8.8,7.25,7.34,8.7,8.8,255.657
Oklahoma,2019,6/1/19,3,-824.5,13401.8,103.913,105811.5,205992.7,87604,200072.2,12577.3,2,2.02,7.25,7.34,7.25,7.34,255.657
Oregon,2019,6/1/19,3.7,-774.3,13742.5,106.323,140613.2,248781.8,95200.5,239794.8,12968.2,11.25,11.38,7.25,7.34,11.25,11.38,255.657
Pennsylvania,2019,6/1/19,4.2,-2002.8,54352.1,102.325,441147.1,802233.1,308736.7,771852.5,52349.3,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Rhode Island,2019,6/1/19,3.5,-170.9,5303.4,102.358,35626.5,62814.7,22055.6,60157.6,5132.6,10.5,10.62,7.25,7.34,10.5,10.62,255.657
South Carolina,2019,6/1/19,2.7,-605.3,18512.4,106.261,135586.5,249575.7,96082,239021.3,17907.1,0,0,7.25,7.34,7.25,7.34,255.657
South Dakota,2019,6/1/19,2.8,-1418.7,4091.7,101.734,25947.7,55175.8,26555.1,52510.2,2673,9.3,9.41,7.25,7.34,9.3,9.41,255.657
Tennessee,2019,6/1/19,3.2,-945.3,27440.7,104.158,199435.4,385833,159902.2,370197.4,26495.3,0,0,7.25,7.34,7.25,7.34,255.657
Texas,2019,6/1/19,3.4,-4896.1,157580.7,108.362,952350.1,1864872.3,759837.5,1806736.1,152684.6,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Utah,2019,6/1/19,2.5,-413.9,11420.1,112.021,103151.9,201312.2,87154.1,192760.6,11006.2,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Vermont,2019,6/1/19,1.9,-104.6,3512.8,102.302,19834.6,34760.3,11517.5,33339.4,3408.2,10.96,11.09,7.25,7.34,10.96,11.09,255.657
Virginia,2019,6/1/19,2.5,-1192.7,37577.3,105.02,319921.9,561701.8,205395.4,541028,36384.6,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Washington,2019,6/1/19,4.2,-1638.3,49735.9,111.69,309606.9,608643.4,250939,588794.4,48097.5,13.5,13.66,7.25,7.34,13.5,13.66,255.657
West Virginia,2019,6/1/19,4.8,-131.2,6163.6,102.647,42398,80242.4,31811.9,77162.2,6032.5,8.75,8.85,7.25,7.34,8.75,8.85,255.657
Wisconsin,2019,6/1/19,3.2,-1103.3,22689.6,103.532,196118.6,346906.6,129201.7,333256.8,21586.3,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Wyoming,2019,6/1/19,3.5,-92.5,3513.1,102.543,19131.1,40029.5,17477.7,38577.1,3420.7,5.15,5.21,7.25,7.34,7.25,7.34,255.657
Alabama,2019,7/1/19,3,-607.4,14573.3,103.997,126937.8,234798.2,93894.5,225272.8,13965.9,0,0,7.25,7.34,7.25,7.34,255.657
Alaska,2019,7/1/19,5.6,-108,4262,97.809,28962.4,54549.6,21433.2,52377.5,4154,10.19,10.31,7.25,7.34,10.19,10.31,255.657
Arizona,2019,7/1/19,4.8,-810.1,24776.4,107.949,204498.2,375376.7,146912.1,359576.7,23966.3,12,12.14,7.25,7.34,12,12.14,255.657
Arkansas,2019,7/1/19,3.4,-1203.9,10140.6,102.694,73876.1,132625.8,49813.1,127220,8936.6,9.25,9.36,7.25,7.34,9.25,9.36,255.657
California,2019,7/1/19,4,-8094.4,214139,108.358,1624376.7,3068629.7,1238208.4,2969609,206044.6,12,12.14,7.25,7.34,12,12.14,255.657
Colorado,2019,7/1/19,2.5,-1229,25678.6,109.57,219270.5,397843.6,154123.4,383725.6,24449.6,12,12.14,7.25,7.34,12,12.14,255.657
Connecticut,2019,7/1/19,3.5,-573.7,20719.9,100.493,146557.8,286451.9,119747.8,275225.4,20146.3,11,11.13,7.25,7.34,11,11.13,255.657
Delaware,2019,7/1/19,3.6,-194.2,4556.1,107.292,34728.9,78710.5,39619.7,74627.8,4361.9,9.25,9.36,7.25,7.34,9.25,9.36,255.657
Florida,2019,7/1/19,3.2,-2807.2,94241.7,106.902,606423.7,1133718,435859.9,1084913.9,91434.5,8.56,8.66,7.25,7.34,8.56,8.66,255.657
Georgia,2019,7/1/19,3.5,-1716.3,38071.1,106.375,329820.5,646695.8,280520.5,620744.9,36354.8,5.15,5.21,7.25,7.34,7.25,7.34,255.657
Hawaii,2019,7/1/19,2.5,-252.1,9316.4,101.623,50408.1,93240.2,33767.7,88855.2,9064.4,10.1,10.22,7.25,7.34,10.1,10.22,255.657
Idaho,2019,7/1/19,2.9,-336.1,5409.3,111.255,44612.4,84429.4,34743.8,81144.3,5073.1,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Illinois,2019,7/1/19,3.8,-4093.6,68855.9,103.025,485390.8,895601.8,345448.6,858018.3,64762.4,9.25,9.36,7.25,7.34,9.25,9.36,255.657
Indiana,2019,7/1/19,3.2,-1565.6,22683,103.628,198748.3,384838.7,164973,370507.2,21117.4,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Iowa,2019,7/1/19,2.7,-2504.8,12919.6,100.72,98492,196262.5,87355.7,188471.4,10414.7,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Kansas,2019,7/1/19,3.1,-1960.2,12091.6,101.978,91997.8,176068.8,73939.6,169562.3,10131.3,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Kentucky,2019,7/1/19,4.1,-730.2,16313,104.038,121066.9,220678.8,84029,211783.1,15582.8,7.25,7.34,7.25,7.34,7.25,7.34,255.657
Louisiana,2019,7/1/19,4.6,-789.3,18260,102.854,128824.7,257499,111203.6,246674.4,17470.7,0,0,7.25,7.34,7.25,7.34,255.657
Maine,2019,7/1/19,2.8,-181.9,6672.3,105.965,39004.9,69708.7,24213.4,66758.4,6490.3,12,12.14,7.25,7.34,12,12.14,255.657
Maryland,2019,7/1/19,3.4,-1255.3,27123.7,100.698,230439.8,419391.6,163083.4,402506.2,25868.4,11,11.13,7.25,7.34,11,11.13,255.657
Massachusetts,2019,7/1/19,3,-1749.7,30843.6,106.828,342122.3,588069.5,216853.2,566326.8,29094,12.75,12.9,7.25,7.34,12.75,12.9,255.657
Michigan,2019,7/1/19,4.1,-1356,35203.1,103.164,304457.3,540237.3,201932.9,521085.1,33847.1,9.65,9.76,7.25,7.34,9.65,9.76,255.657
Minnesota,2019,7/1/19,3.2,-2311.7,26332.4,104.199,218277.7,384850.2,142551.7,369617.4,24020.7,8.15,8.25,7.25,7.34,8.15,8.25,255.657
Mississippi,2019,7/1/19,5.6,-836.8,9881.9,100.84,63945,116135.7,43145.7,111207.8,9045,0,0,7.25,7.34,7.25,7.34,255.657
